time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class,label
150,-1.00E-05,1.00E-05,4.00E-05,0,1.00E-05,-1.00E-05,0,-1.00E-05,0,1
151,-3.00E-05,-5.00E-05,-6.00E-05,-8.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-2.00E-05,0,1
153,-3.00E-05,-5.00E-05,-6.00E-05,-8.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-2.00E-05,0,1
154,-3.00E-05,-5.00E-05,-6.00E-05,-8.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-2.00E-05,0,1
155,-3.00E-05,-5.00E-05,-6.00E-05,-8.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-2.00E-05,0,1
156,-3.00E-05,-5.00E-05,-6.00E-05,-8.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-2.00E-05,0,1
157,-3.00E-05,-5.00E-05,-6.00E-05,-8.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-2.00E-05,0,1
158,-3.00E-05,-5.00E-05,-6.00E-05,-8.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-2.00E-05,0,1
159,-3.00E-05,-5.00E-05,-6.00E-05,-8.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-2.00E-05,0,1
160,1.00E-05,0,-2.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,0,0,1
161,1.00E-05,0,-2.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,0,0,1
162,1.00E-05,0,-2.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,0,0,1
163,1.00E-05,0,-2.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,0,0,1
164,1.00E-05,0,-2.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,0,0,1
165,1.00E-05,0,-2.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,0,0,1
166,1.00E-05,0,-2.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,0,0,1
167,1.00E-05,0,-2.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,0,0,1
168,1.00E-05,0,-2.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,0,0,1
169,1.00E-05,0,-2.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,0,0,1
170,1.00E-05,0,-2.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,0,0,1
171,1.00E-05,0,-2.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,0,0,1
172,1.00E-05,0,-2.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,0,0,1
173,1.00E-05,0,-2.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,0,0,1
174,0,-1.00E-05,0,1.00E-05,-1.00E-05,0,1.00E-05,0,0,1
175,0,-2.00E-05,0,0,-1.00E-05,-1.00E-05,0,0,0,1
176,0,-2.00E-05,0,0,-1.00E-05,-1.00E-05,0,0,0,1
177,0,-2.00E-05,0,0,-1.00E-05,-1.00E-05,0,0,0,1
178,0,-2.00E-05,0,0,-1.00E-05,-1.00E-05,0,0,0,1
179,0,-2.00E-05,0,0,-1.00E-05,-1.00E-05,0,0,0,1
180,0,-2.00E-05,0,0,-1.00E-05,-1.00E-05,0,0,0,1
181,0,-2.00E-05,0,0,-1.00E-05,-1.00E-05,0,0,0,1
182,0,-2.00E-05,0,0,-1.00E-05,-1.00E-05,0,0,0,1
183,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,-2.00E-05,-4.00E-05,-1.00E-05,0,1
184,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,-2.00E-05,-4.00E-05,-1.00E-05,0,1
185,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,-2.00E-05,-4.00E-05,-1.00E-05,0,1
186,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,-2.00E-05,-4.00E-05,-1.00E-05,0,1
189,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,-2.00E-05,-4.00E-05,-1.00E-05,0,1
190,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,-2.00E-05,-4.00E-05,-1.00E-05,0,1
191,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,-2.00E-05,-4.00E-05,-1.00E-05,0,1
192,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,-2.00E-05,-4.00E-05,-1.00E-05,0,1
193,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,-2.00E-05,-4.00E-05,-1.00E-05,0,1
194,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,-2.00E-05,-4.00E-05,-1.00E-05,0,1
195,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,-2.00E-05,-4.00E-05,-1.00E-05,0,1
196,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,-2.00E-05,-4.00E-05,-1.00E-05,0,1
197,-2.00E-05,-1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,-2.00E-05,-4.00E-05,-1.00E-05,0,1
198,-2.00E-05,-3.00E-05,-3.00E-05,-4.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,0,0,1
199,-2.00E-05,-3.00E-05,-3.00E-05,-4.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,0,0,1
200,-2.00E-05,-3.00E-05,-3.00E-05,-4.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,0,0,1
201,-2.00E-05,-3.00E-05,-3.00E-05,-4.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,0,0,1
202,-2.00E-05,-3.00E-05,-3.00E-05,-4.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,0,0,1
203,-2.00E-05,-3.00E-05,-3.00E-05,-4.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,0,0,1
204,0,0,1.00E-05,0,0,-1.00E-05,-2.00E-05,-1.00E-05,0,1
205,0,0,1.00E-05,0,0,-1.00E-05,-2.00E-05,-1.00E-05,0,1
206,0,0,1.00E-05,0,0,-1.00E-05,-2.00E-05,-1.00E-05,0,1
207,0,0,1.00E-05,0,0,-1.00E-05,-2.00E-05,-1.00E-05,0,1
208,0,0,1.00E-05,0,0,-1.00E-05,-2.00E-05,-1.00E-05,0,1
209,0,0,1.00E-05,0,0,-1.00E-05,-2.00E-05,-1.00E-05,0,1
210,0,0,1.00E-05,0,0,-1.00E-05,-2.00E-05,-1.00E-05,0,1
211,0,0,1.00E-05,0,0,-1.00E-05,-2.00E-05,-1.00E-05,0,1
212,0,0,1.00E-05,0,0,-1.00E-05,-2.00E-05,-1.00E-05,0,1
213,0,0,1.00E-05,0,0,-1.00E-05,-2.00E-05,-1.00E-05,0,1
214,0,0,1.00E-05,0,0,-1.00E-05,-2.00E-05,-1.00E-05,0,1
215,0,0,1.00E-05,0,0,-1.00E-05,-2.00E-05,-1.00E-05,0,1
216,0,0,1.00E-05,0,0,-1.00E-05,-2.00E-05,-1.00E-05,0,1
217,0,0,1.00E-05,0,0,-1.00E-05,-2.00E-05,-1.00E-05,0,1
218,0,0,1.00E-05,0,0,-1.00E-05,-2.00E-05,-1.00E-05,0,1
219,0,0,1.00E-05,0,0,-1.00E-05,-2.00E-05,-1.00E-05,0,1
220,-3.00E-05,-1.00E-05,1.00E-05,1.00E-05,0,-1.00E-05,-1.00E-05,-1.00E-05,0,1
221,-3.00E-05,-1.00E-05,1.00E-05,1.00E-05,0,-1.00E-05,-1.00E-05,-1.00E-05,0,1
222,-3.00E-05,-1.00E-05,1.00E-05,1.00E-05,0,-1.00E-05,-1.00E-05,-1.00E-05,0,1
223,-3.00E-05,-1.00E-05,1.00E-05,1.00E-05,0,-1.00E-05,-1.00E-05,-1.00E-05,0,1
224,-3.00E-05,-1.00E-05,1.00E-05,1.00E-05,0,-1.00E-05,-1.00E-05,-1.00E-05,0,1
225,-3.00E-05,-1.00E-05,1.00E-05,1.00E-05,0,-1.00E-05,-1.00E-05,-1.00E-05,0,1
226,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
227,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
228,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
229,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
230,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
231,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
232,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
233,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
234,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
235,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
236,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
239,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
240,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
241,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
242,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
243,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
244,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
245,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
247,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
248,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
249,1.00E-05,-2.00E-05,-3.00E-05,-1.00E-05,1.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
250,-3.00E-05,-7.00E-05,-5.00E-05,-3.00E-05,-4.00E-05,-1.00E-05,-1.00E-05,-2.00E-05,0,1
251,-3.00E-05,-7.00E-05,-5.00E-05,-3.00E-05,-4.00E-05,-1.00E-05,-1.00E-05,-2.00E-05,0,1
252,-2.00E-05,-2.00E-05,0,0,-2.00E-05,1.00E-05,-4.00E-05,-1.00E-05,0,1
253,-2.00E-05,-2.00E-05,0,0,-2.00E-05,1.00E-05,-4.00E-05,-1.00E-05,0,1
254,-2.00E-05,-2.00E-05,0,0,-2.00E-05,1.00E-05,-4.00E-05,-1.00E-05,0,1
256,-2.00E-05,-2.00E-05,0,0,-2.00E-05,1.00E-05,-4.00E-05,-1.00E-05,0,1
